date,tweet
2020-09-05 18:01:00,"#BattlestarGalactica is back 🙌

9:45pm | @BBCTwo &amp; @BBCiPlayer.

👉 https://t.co/8fvQQqUAVb https://t.co/hHdFEb2WlQ"
2020-09-04 16:01:00,"Operating on one of the world's rarest tigers = the definition of stress 😰
#AnimalPark

WARNING: This video contain… https://t.co/GgQoP4NIP2"
2020-09-03 16:01:00,"You can ask for anything if you're wearing a low cut top.

Via @bbcthree.
https://t.co/hujjJLVvNY"
2020-09-02 16:01:00,"""If I had to go home knowing there's still people out there suffering and I chose to do nothing, I wouldn't be able… https://t.co/56eKya5FHA"
2020-09-02 08:06:02,"RT @BBCR1: YES CLARA! ❤️

#Strictly https://t.co/KnHZRABiP5"
2020-09-02 08:06:02,"RT @BBCR1: YES CLARA! ❤️

#Strictly https://t.co/KnHZRABiP5"
2020-09-02 08:05:03,RT @BBCNews: Boxer Nicola Adams announced as Strictly Come Dancing's first contestant in same-sex pair https://t.co/bB6acCxnOE
2020-09-01 13:07:56,RT @bbcstrictly: 🚨It's happening! Meet the first three celebrities of #Strictly 2020 TONIGHT! @BBCTheOneShow 7pm 🚨 https://t.co/4M3P7mf037
2020-09-01 12:01:00,"Hans Zimmer and Dave unite to give us a brand-new score for the natural world, but how was this achieved in lockdow… https://t.co/6HzmTXr9V7"
2020-09-01 09:51:14,"Mother of God.

#LineOfDuty has resumed filming for Series 6. 🎬

Coming soon to @BBCOne &amp; @BBCiPlayer.

👉… https://t.co/AGGQq0YSLF"
2020-08-31 18:01:00,"Strike and Robin fear their witness could be in danger and must act quickly.

#Strike: #LethalWhite continues tonig… https://t.co/WWg4mq4qRT"
2020-08-31 17:01:00,"Escape with Sir David Attenborough to the world’s wildest places, with a new musical score by @HansZimmer and… https://t.co/q7oQ6jF99j"
2020-08-30 18:01:00,Jason Isaacs narrates the story of @LFC's quest to return to the top of English football by winning the… https://t.co/bU8Zd6hoFC
2020-08-30 17:01:00,"Cormoran Strike is BACK!

Strike and Robin investigate the blackmail of a government minister and the case of a str… https://t.co/2hvdkb20is"
2020-08-29 12:11:40,RT @BBCWorld: Chadwick Boseman: Tributes pour in for Black Panther actor https://t.co/Um4hz5KayS
2020-08-29 09:01:00,There may be no #NottingHillCarnival this weekend - but you can relive some of the best moments from over the years… https://t.co/dXGI9SSgqR
2020-08-28 16:33:50,RT @BBCRadio4: Emmett Till was lynched in Mississippi on this day in 1955. He had been accused of flirting with a white woman. His death st…
2020-08-28 16:01:00,"“The fate of many worlds may rest on you.”

The epic journey continues. #HisDarkMaterials returns to @BBCOne and… https://t.co/UMEZfuXhcL"
2020-08-28 08:53:20,RT @bbcproms: Vote for the encore in Jonathan Scotts organ recital tomorrow! The vote is now open &amp; closes tomorrow (Sat 29th August) at no…
2020-08-27 16:01:00,"Can you believe your eyes?  👀

From Rashomon to Knives Out, watch as @jessicakiang explores the storytelling techni… https://t.co/exLe2sb8cq"
2020-08-26 13:30:15,"RT @bbcpress: 🚔 #CrimewatchRoadshowLive returns to @BBCOne on 7 September at 9.15am for three weeks with @MichAckerley, @RavWilding, and ne…"
2020-08-26 11:00:20,".@gdavies' new comedy series #TheCleaner is coming soon to @BBCOne &amp; @BBCiPlayer!

👉 https://t.co/ypimRiyEyj https://t.co/vGmKBnFj73"
